swell1_height-surface,swell1_direction-surface,swell1_period-surface,swell2_height-surface,swell2_direction-surface,swell2_period-surface,wind_u-surface,wind_v-surface,gust-surface,temp-surface,past3hprecip-surface,past3hsnowprecip-surface,past3hconvprecip-surface,ptype-surface,lclouds-surface,rh-surface,sg,timestamp,location
0.367414047,201.1347368,14.19079958,0.206668729,204.3010053,16.63432093,3.054085351,1.01744665,3.35799771,287.5968796,0,0,0,0,1.346720786,54.23379888,-0.31,"Thursday, April 03, 2025 10:00:00",A
0.361813876,202.071196,14.25302809,0.191243478,195.9721476,16.67959278,4.403912746,-1.207776771,4.859380908,287.779685,0,0,0,0,3.450349437,51.16369005,0.21,"Thursday, April 03, 2025 01:00:00",B
0.365773997,204.5994031,14.1499496,0.203176552,192.0781664,16.57253342,2.209159002,-2.979779692,5.274714655,283.5958696,0,0,0,0,0,69.94706003,0.09,"Thursday, April 03, 2025 04:00:00",A
0.646902576,263.2772826,10.1842152,0.298429498,198.0531095,15.03747657,0.799945426,-1.898549324,2.619441122,281.399815,0,0,0,0,0.002380444,74.00740452,0.15,"Thursday, April 03, 2025 07:00:00",B
0.632142126,269.437329,9.15521613,0.356924931,227.8128605,12.73981364,-0.606908366,-1.971694819,3.03293084,280.4618577,0,0,0,0,0.210553301,79.78350328,0.62,"Thursday, April 03, 2025 10:00:00",A
1.288642161,301.6801978,6.927394357,0.294771972,201.1635218,13.76190233,-1.566443966,-1.302236527,2.052521653,279.6969946,0,0,0,0,0.244782861,82.77592761,0.65,"Friday, April 04, 2025 01:00:00",B
1.109916706,301.1735807,6.860846697,0.31632617,207.6086502,12.99107553,-0.923717105,-0.824099356,1.233740062,281.071688,0,0,0,0,0,74.09063619,-0.18,"Friday, April 04, 2025 04:00:00",A
0.923471017,301.0512772,6.887122711,0.38319489,237.4233784,11.42333471,0.664500004,0.883670931,1.363359183,286.4048857,0,0,0,0,0,51.69405475,-0.9,"Friday, April 04, 2025 07:00:00",B
0.372214194,237.1927464,11.07341877,0.264374159,198.5049251,14.82499665,3.504494964,0.699378652,3.318114904,288.4911663,0,0,0,0,0.499087497,53.43955101,-0.6,"Friday, April 04, 2025 10:00:00",A
0.32817285,224.5819025,10.98539666,0.309235992,225.0257198,11.08286214,3.066368594,-0.196130895,3.683627495,288.876956,0,0,0,0,0.009521775,53.97872591,0.08,"Friday, April 04, 2025 01:00:00",B
0.383694544,225.3381365,10.68626368,0.352152583,224.6912857,10.72244786,0.3421061,-1.981332302,3.863598335,285.3395168,0,0,0,0,0,73.14517667,0.26,"Friday, April 04, 2025 04:00:00",A
0.657382896,283.296917,6.882383211,0.394501107,252.0594598,6.77193042,-1.620585038,-0.78511465,2.273831112,283.5358471,0,0,0,0,0,78.71095444,0.08,"Friday, April 04, 2025 07:00:00",B
0.599941143,295.4925089,5.967123676,0.404369887,255.0139494,6.864849193,-0.770588759,-1.856158891,2.008154943,283.0875844,0,0,0,0,0,76.30527287,0.37,"Friday, April 04, 2025 10:00:00",A
0.514098524,302.3904196,4.916258014,0.40087771,246.0479971,8.166308755,-1.642307417,-2.145014238,2.876628284,283.0856633,0,0,0,0,0,72.73471053,0.64,"Saturday, April 05, 2025 01:00:00",B
